Mon Dec 20 02:49:30 2021: Server was asked to start on port: '35321'
Mon Dec 20 02:49:30 2021: Server is using token UUID: '714bcb9c-f6e3-4263-94cd-af33b6c043b2'
Mon Dec 20 02:49:30 2021: SESSION_MGR: creating session with session uuid: '6d04a3e9-ade5-4ab9-8d63-1f78fcd2ec76' and name 'default'
Mon Dec 20 02:49:30 2021: Attempting to start server on port '35321'
Mon Dec 20 02:49:30 2021: XCD main fifo: created main fifo '/tmp/xcdmain714bcb9c-f6e3-4263-94cd-af33b6c043b2', fd read = 13
Mon Dec 20 02:49:30 2021: Running Dispatch Server
Mon Dec 20 02:49:30 2021: Version 2.1.0
Mon Dec 20 02:49:34 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 02:49:34 2021: EXCHANGE_TOKEN received, server token: 714bcb9c-f6e3-4263-94cd-af33b6c043b2, passed token: 714bcb9c-f6e3-4263-94cd-af33b6c043b2
Mon Dec 20 02:49:34 2021: SESSION_MGR: creating session with session uuid: '5634f7b2-8b6c-41fb-bc41-3388fa30f381' and name 'v++_link_vinc'
Mon Dec 20 02:49:34 2021: GUIDANCE_SMGR: creating guidance session with uuid: '5634f7b2-8b6c-41fb-bc41-3388fa30f381' and name 'v++_link_vinc'
Mon Dec 20 02:52:47 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 02:58:00 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:24 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:23:25 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:31:07 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:31:28 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:31:28 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:31:29 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:31:29 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:31:29 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:33:18 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:33:20 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:33:23 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:33:44 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:34:31 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:36:23 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:38:34 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:38:46 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:39:27 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:41:05 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:41:07 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:41:12 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:41:18 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:41:29 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:42:14 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:47:49 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:48:49 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:49:03 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:49:22 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:49:28 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:49:45 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:49:52 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:50:25 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:51:21 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:51:45 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:52:21 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:56:40 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:56:50 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:58:14 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:59:17 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 03:59:26 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:00:09 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:00:35 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:04:51 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:07:04 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:07:32 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:07:36 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:08:21 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:10:54 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:12:37 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:12:47 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:14:43 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:15:21 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:15:53 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:16:08 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:16:18 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:16:58 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:18:36 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:19:06 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:27:13 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:27:13 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 04:55:41 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 05:08:37 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 05:20:52 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 07:06:22 2021: Dispatch Server: Accepted socket connection from client
Mon Dec 20 16:13:05 2021: SESSION_MGR: closing session for UUID '5634f7b2-8b6c-41fb-bc41-3388fa30f381' with name 'v++_link_vinc'
Mon Dec 20 16:13:05 2021: GUIDANCE_SMGR: closing session for UUID '5634f7b2-8b6c-41fb-bc41-3388fa30f381' with name 'v++_link_vinc'
